Faixa etária,Nivel de escolaridade,"Sabe o que é lixo tóxico e químico? (Exemplo: lâmpadas, óleo de cozinha, remédios vencidos, pilhas e entre outros) ",Resposta – Sabe o que é lixo tóxico e químico?,Onde você faz o descarte desse tipo de lixo?,"Você realiza a separação de lixo tóxico, químico e comum?","Resposta – Você realiza a separação de lixo tóxico, químico e comum?",Onde você acha que é o local ideal para realizar o descarte dentro da comunidade?,Resposta – Onde você acha que é o local ideal para realizar o descarte dentro da comunidade?,Sabe como o descarte incorreto desses lixos pode afetar o meio ambiente e sua família?,Resposta – Sabe como o descarte incorreto desses lixos pode afetar o meio ambiente e sua família?,Tem algum incentivo de órgãos governamentais para o descarte desse tipo de lixo?,Respostas – Tem algum incentivo de órgãos governamentais para o descarte desse tipo de lixo?,Porque você acha importante o desenvolvimento desse projeto na comunidade?,Respostas – Porque você acha importante o desenvolvimento desse projeto na comunidade?
Entre 26 a 30 anos,Ensino médio completo,Sim,Conhecimento amplo,Em casa (separando dos outros lixos),Não , Não realiza a separação,Não tem, Falta de opções ou informações sobre descarte,"Sim, com poluição ", Impactos ambientais ,Não ,Não há incentivo,Sim, Meio ambiente
51 ou mais,Ensino fundamental incompleto,Sim,Conhecimento amplo,No posto de gasolina,Sim, Realiza separação,Não sabe, Falta de opções ou informações sobre descarte,Sim,Conhecimento genérico,Sim,Não há incentivo,"Mais limpeza no ambiente, mais entendimento das pessoas", Conscientização
Entre 26 a 30 anos,Ensino fundamental incompleto,Não ,Desconhecimento,Tudo junto,Não , Não realiza a separação,Não sabe, Falta de opções ou informações sobre descarte,"Não tem relação, não afeta", Desconhecimento ,Não ,Não há incentivo,Não acha , Meio ambiente
Entre 31 a 50 anos,Ensino superior,"Sim, mas não sabe diferenciar ",Conhecimento amplo,No posto de gasolina,Não , Não realiza a separação,No posto de gasolina , Locais específicos para descarte de resíduos,Não sabe, Desconhecimento ,"Sim, mas muito pouco",Não há incentivo,Acha que sim, Educação
Entre 31 a 50 anos,Ensino fundamental completo,Não sabe a diferença entre eles (toxico e quimico),Desconhecimento,Descarta da maneira que ela acha correto (não explicou com detalhes),Sim, Realiza separação,Em algum lugar que seja afastado do lixo comum, Locais específicos para descarte de resíduos,Sabe como pode afetar o meio ambiente somente, Impactos ambientais ,Nunca viu incentivo do governo na região,Não há incentivo,"Para que todos, inclusive ela, saibam os danos que o descarte incorreto pode causar", Local de descarte
Entre 31 a 50 anos,Ensino médio incompleto,Não sabe dizer mas recicla tudo o que pode e separa lixo que sabe que não é comum,Desconhecimento,Deixa na porta para a coleta,Sim, Realiza separação,Em lugares seguros e que não vao causar danos, Locais específicos para descarte de resíduos,Sabe tanto que pode afetar a saude quanto o meio ambiente, Saúde humana,O governo passa coletando os lixos mas não nunca viu incentivo.Ex: palestras,Não há incentivo,Para a proteçao do ambiente e da saude das pessoas , Educação
Entre 21 a 25 anos,Ensino fundamental incompleto,Nao sei,Desconhecimento,no lixo normal,nao, Não realiza a separação,material de contracto fica perto da minha casa, Descarte em locais inadequados,deve ser ruim sim,Conhecimento genérico,nao tem,Não há incentivo,pra gente separar certo o lixo, Local de descarte
51 ou mais,Ensino fundamental incompleto,sei sim,Conhecimento amplo,enterrando ,sim, Realiza separação parcialmente,no posto de combustível, Locais específicos para descarte de resíduos,deve fazer mal para a camada de ozônio , Impactos ambientais ,"nao tem nada aqui moça, so asfalto",Não há incentivo,deve ser sim, Local de descarte
Entre 31 a 50 anos,Ensino médio incompleto,sei sim,Conhecimento amplo,faço um buraco no quintal de casa ,sim, Realiza separação parcialmente,"algum lugar perto de casa, talvez o mercadinho do seu Jorge ", Locais específicos para descarte de resíduos,deve fazer mal para as plantas, Impactos ambientais ,nao tem,,sim, Meio ambiente
,,,,,,,,,,,,,, Educação
,,,,,,,,,,,,,,
